Words,DistinctStems
2017000,26248
2018000,26251
2019000,26254
2020000,26259
2021000,26263
2022000,26272
2023000,26280
2024000,26285
2025000,26290
2026000,26293
2027000,26293
2028000,26299
2029000,26305
2030000,26309
2031000,26329
2032000,26339
2033000,26372
2034000,26387
2035000,26395
2036000,26398
2037000,26403
2038000,26411
2039000,26411
2040000,26414
2041000,26421
2042000,26425
2043000,26431
2044000,26434
2045000,26442
2046000,26444
2047000,26446
2048000,26448
2049000,26451
2050000,26456
2051000,26459
2052000,26466
2053000,26472
2054000,26474
2055000,26481
2056000,26489
2057000,26495
2058000,26501
2059000,26505
2060000,26509
2061000,26510
2062000,26511
2063000,26515
2064000,26522
2065000,26525
2066000,26528
2067000,26529
2068000,26531
2069000,26536
2070000,26542
2071000,26546
2072000,26549
2073000,26557
2074000,26561
2075000,26565
2076000,26568
2077000,26572
2078000,26576
2079000,26576
2080000,26578
2081000,26582
2082000,26583
2083000,26588
2084000,26593
2085000,26598
2086000,26600
2087000,26604
2088000,26609
2089000,26611
2090000,26616
2091000,26621
2092000,26627
2093000,26634
2094000,26640
2095000,26643
2096000,26648
2097000,26649
2098000,26653
2099000,26656
2100000,26662
2101000,26666
2102000,26668
2103000,26672
2104000,26674
2105000,26677
2106000,26680
2107000,26682
2108000,26686
2109000,26692
2110000,26696
2111000,26696
2112000,26701
2113000,26702
2114000,26706
2115000,26711
2116000,26714
2117000,26723
2118000,26724
2119000,26731
2120000,26734
2121000,26738
2122000,26739
2123000,26742
2124000,26745
2125000,26748
2126000,26753
2127000,26762
2128000,26765
2129000,26768
2130000,26776
2131000,26781
2132000,26786
